FSN,MAT_Code_2
CNRGM7F3WQCUSP,6010009
MSCFEV8EHDBZ3T,6010039
TNRFEV8EJ8NF3Y,6010042
BSTF4686BGAYCA,7010024
FCPGENY4QZDMZE,7010010
MSCG7UHRBS3WVJ,3010034
MSCFHCF2EVWSGQ,3010595
CNRG6PYZZ27WWF,3010095
FCPG6PCBCDZF5H,3010523
CBKGUSXGVEDS79,6010074
CNRG9YVQ2EFJAP,7010007
CNRF457W8PSGQZ,3010061
FCTF85QYX7B3SG,3010251
SNRG6RZYFAKZXH,3010054
MSCFEV8EGHRK3R,3010353
MSCFGG6FGXPGAD,PCVIR00009
FCWGSUVATDETNT,3010099
FCPGK22NPBUVAX,3010440
SNRG6RQMXHDFTX,3010103
SNRG6RN8ARHCKP,KESCOM00357
FCPFAYHNSCAG3D,VIRSK00129
LSQFH9X4PHGNHX,VIRSK00128
CBKGKPKNGRVQXG,KESCOM00167
CNRGK5GYKRBPCN,PCCOM00199
SNRG6RZGFKDRYA,KESCOM00189
TNRG5EHBBNMGTV,PCCVIR00092
CBKGUHMEPQPUJX,KESMCH000005
MSCFEV8E7HN4SZ,KESCH000006
FCPGENY4MY2WHF,GGC000000102
TNRFEV8FYNRFZJ,GGVIRCOM106
CNRG9PSTGWCHZ6,GGCH000008
FCPG6S9VGDMHGZ,2010007
CBKGHHUPJWXZQZ,3010502
BSTF46864DSAXW,6010029
CNRG988K8WNZQE,3010249
LSQFH9X4HVS2GN,3010412
FCPGENY3TRMXFT,3010268
ECMFEV8E4EGG2H,3010246
MSCGZJ9XAHCC7J,3010152
LSQFH9X4BAHZZW,KESCOM00241
FCPGK23TZRJFHC,6010043
MSCFK7B5R4JMNP,3010451
FCWGZJSGSS4M5G,3010077
BSTGZJRSJH2KRR,3010073
FCWGZJSEF6CBCZ,3010084
