SKU,MAT_Code_3
88018297,6010009
88018268,6010039
THEA0083,6010042
THEA0012,7010024
88018251,7010010
88018229,3010034
88018207,3010595
88018275,3010095
88018232,3010523
88018269,6010074
88018228,7010007
88018296,3010061
88018214,3010251
88018294,3010054
88018206,3010353
88018239,PCVIR00009
88018205,3010099
88018283,3010440
88018244,3010103
88018272,KESCOM00357
88018202,VIRSK00129
88018225,VIRSK00128
THEA0045,KESCOM00167
88018217,PCCOM00199
88018287,KESCOM00189
88018201,PCCVIR00092
88018226,KESMCH000005
88018240,KESCH000006
THEA0040,GGC000000102
88018237,GGVIRCOM106
88018290,GGCH000008
88018263,2010007
THEA0017,3010502
88018212,6010029
THEA0041,3010249
88018280,3010412
88018265,3010268
88018299,3010246
88018220,3010152
88018242,KESCOM00241
THEA0014,6010043
THEA0038,3010451
88036460,3010077
THEA0006,3010073
88018213,3010084
