date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity
2024-05-05,Nagpur,Glow Glisten,beauty-hygiene,skin-care,face-care,402135,"Vitamin B5, Oil-Free Moisturizer With Zinc",170 ml,1
2024-05-04,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,402154,"Vitamin B5, Oil-Free Moisturizer With Zinc",100 ml,1
2024-04-15,Nagpur,Glow Glisten,beauty-hygiene,skin-care,face-care,402347,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",50 ml,1
2023-07-12,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,402154,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,2
2024-02-28,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,402773,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,1
2024-01-15,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,402872,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2024-01-12,Lucknow-Kanpur,Glow Glisten,beauty-hygiene,skin-care,face-care,402709,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",150 ml,1
2024-05-20,Gurgaon,Pure Care,beauty-hygiene,skin-care,face-care,402279,Peach Milk Moisturizer ,20 g,3
2023-12-29,Hyderabad,Pure Care,beauty-hygiene,skin-care,face-care,402683,Pure Care Double Cleanse,20 g,2
2023-12-16,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,402872,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2023-08-29,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,402859,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,1
2024-01-15,Lucknow-Kanpur,Glow Glisten,beauty-hygiene,skin-care,face-care,401954,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,1
2023-12-14,Chennai,Pure Care,beauty-hygiene,skin-care,face-care,402097,Pure Care Double Cleanse,20 g,1
2024-03-12,Mumbai,Pure Care,beauty-hygiene,skin-care,face-care,402636,Pure Care Double Cleanse,50 ml,4
2024-02-26,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,402279,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,4
2023-08-27,Bangalore,Pure Care,beauty-hygiene,skin-care,face-care,402135,Pure Care Double Cleanse,20 g,2
2023-09-26,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,402837,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",100 ml,4
