Product Id,SKU ID,Category,Brand,Vertical,Order Date,Fulfillment Type,Location Id,Gross Units,GMV,Cancellation Units,Cancellation Amount,Return Units,Return Amount,Final Units Sold,Final Sales Made
FCPGENY4MY2WHF,88888190,Grooming,Essential Glow,Facewash,2023-11-06,FBF,bhi_vas_wh_nl_01nl,2,686,0,0,0,0,2,686
CBKGUSXGVEDS79,88061825,Grooming,Glow Glisten,FaceCreamAndGel,2023-10-31,FBF,malur_bts,1,1455,1,1455,0,0,0,0
BSTF46864DSAXW,88061825,Grooming,Glow Glisten,Toner,2023-07-01,FBF,gur_san_wh_nl_01nl,6,4581,2,1529,0,0,4,3052
CNRGK5GYKRBPCN,88061825,Grooming,Pure Care,Toner,2024-04-09,FBF,ulub_bts,12,9216,0,0,0,0,12,9216
SNRG6RQMXHDFTX,88061825,Grooming,Korean Essence,SkinTreatment,2024-01-18,FBF,ulub_bts,5,2113,1,412,0,0,4,1701
LSQFH9X4PHGNHX,88888190,Grooming,Korean Essence,Facewash,2023-10-03,FBF,malur_bts,27,9248,4,1376,0,0,23,7872
CNRGM7F3WQCUSP,88061825,Grooming,Glow Glisten,Toner,2023-06-19,FBF,malur_bts,3,2303,0,0,0,0,3,2303
MSCFEV8EGHRK3R,88061825,Grooming,Korean Essence,FacePack,2024-01-04,NON_FBF,LOCee351ee44b0e404cadbd2615fe822e76,1,450,0,0,0,0,1,450
CBKGUSXGVEDS79,88061825,Grooming,Glow Glisten,FaceCreamAndGel,2024-03-06,FBF,ulub_bts,3,2407,1,804,0,0,2,1603
TNRG5EHBBNMGTV,88061825,Grooming,Pure Care,FaceCreamAndGel,2024-02-22,FBF,gur_san_wh_nl_01nl,3,2642,1,904,0,0,2,1738
FCWGZJSGSS4M5G,88061825,Grooming,Korean Essence,Facewash,2023-11-25,FBF,gur_san_wh_nl_01nl,1,445,0,0,0,0,1,445
ECMFEV8E4EGG2H,88888190,Grooming,Korean Essence,Facewash,2023-10-27,FBF,ulub_bts,9,3083,2,685,0,0,7,2398
MSCFEV8EGHRK3R,88888070,Grooming,Korean Essence,FacePack,2024-01-26,FBF,ulub_bts,10,4805,0,0,0,0,10,4805
LSQFH9X4BAHZZW,88888070,Grooming,Korean Essence,FacePack,2024-03-23,FBF,malur_bts,2,940,0,0,0,0,2,940
SNRG6RQMXHDFTX,88061825,Grooming,Korean Essence,FaceCreamAndGel,2023-10-23,FBF,ulub_bts,5,3903,1,774,0,0,4,3129
MSCGZJ9XAHCC7J,88061825,Grooming,Pure Care,Toner,2023-05-12,FBF,malur_bts,3,2300,0,0,0,0,3,2300
FCWGSUVATDETNT,88061825,Grooming,Korean Essence,FaceCreamAndGel,2023-11-04,FBF,ulub_bts,1,1445,0,0,0,0,1,1445
MSCFEV8EGHRK3R,301005,Grooming,Korean Essence,ComboAndKit,2023-12-12,FBF,malur_bts,1,719,0,0,0,0,1,719
TNRFEV8FYNRFZJ,301005,Grooming,Essential Glow,Facewash,2023-06-23,FBF,gur_san_wh_nl_01nl,2,939,0,0,0,0,2,939
CBKGUHMEPQPUJX,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-05-26,FBF,malur_bts,5,3885,1,804,0,0,4,3081
CBKGKPKNGRVQXG,301005,Grooming,Korean Essence,Facewash,2023-06-11,FBF,ulub_bts,4,3164,0,0,0,0,4,3164
CNRGM7F3WQCUSP,301005,Grooming,Glow Glisten,SkinTreatment,2023-07-03,FBF,ulub_bts,1,1975,0,0,0,0,1,1975
MSCG7UHRBS3WVJ,301005,Grooming,Korean Essence,SkinTreatment,2023-11-14,FBF,ulub_bts,2,888,0,0,0,0,2,888
FCPG6PCBCDZF5H,301005,Grooming,Korean Essence,Sunscreen,2023-05-19,FBF,malur_bts,2,2008,0,0,0,0,2,2008
CNRG6PYZZ27WWF,301005,Grooming,Korean Essence,ComboAndKit,2023-07-10,FBF,malur_bts,7,4933,1,724,0,0,6,4209
LSQFH9X4HVS2GN,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-07-05,FBF,ulub_bts,3,2401,0,0,0,0,3,2401
CBKGUSXGVEDS79,301005,Grooming,Glow Glisten,ComboAndKit,2024-03-11,FBF,gur_san_wh_nl_01nl,2,1448,1,724,0,0,1,724
CBKGHHUPJWXZQZ,BLFCOM,Grooming,Korean Essence,FaceCreamAndGel,2024-03-24,FBF,gur_san_wh_nl_01nl,1,774,0,0,0,0,1,774
SNRG6RQMXHDFTX,301005,Grooming,Korean Essence,Toner,2024-04-22,FBF,ulub_bts,10,7670,1,770,0,0,9,6900
