Year of Order Date,Quarter of Order Date,Month of Order Date,Day of Order Date,Final date,Sku,SKU Name,Brand Name,Canonical L1,Canonical L2,Canonical L3,Quantity,
2022,Q2,9,6,06-Sep-22,88018240,Sling Bag,Korean Essence,Skin,Masks & Treatment,Masks,5,
2022,Q2,9,6,06-Sep-22,THEA0014,Carbon blackhead Mask,Glow Glisten,Makeup,Lips,Lip Stain,6,
2022,Q2,9,6,06-Sep-22,88018287, 3 Step Routine For Normal Skin,Korean Essence,Skin,Skin Kits & Combos,Skin Kits,4,
2022,Q2,9,6,06-Sep-22,88018212, Glow glisten  Water Essence,Glow Glisten,Skin,Masks,Sheet Masks,28,
2022,Q2,9,6,06-Sep-22,88018268, Advance Ultra Hydrating Lotion With Shea Butter & Niacinamide,Glow Glisten,Bath & Body,Hands & Feet,Hand Creams & Masks,1,
2022,Q2,9,6,06-Sep-22,88018251,Peach Milk Moisturizer ,Pure Care,Skin,Masks,Masks & Peels,1,
2022,Q2,9,6,06-Sep-22,88018217, 5 Step Routine For Oily Skin,Pure Care,Skin,Kits & Combos,Combos @ Nykaa,51,
2022,Q2,9,6,06-Sep-22,88018268, Advance Ultra Hydrating Lotion With Shea Butter & Niacinamide,Glow Glisten,Skin,Cleansers,Cleanser,3,
2022,Q2,9,6,06-Sep-22,88018226, Towel - Scrunchie,Korean Essence,Skin,Cleansers,Scrubs & Exfoliators,11,
2022,Q2,9,6,06-Sep-22,88018207,Kojic Acid Face Serum With 1% Alpha Arbutin & Niacinamide,Korean Essence,Skin,Masks,Sheet Masks,220,
2022,Q2,9,6,06-Sep-22,88018290, Diary ,Glow Glisten,Skin,Cleansers,Face Wash,170,
2022,Q2,9,6,06-Sep-22,THEA0040,Tote bag ,Essential Glow,Skin,Masks,Sheet Masks,46,
2022,Q2,9,6,06-Sep-22,88018220, Baby Face Smoothing Peel Off Mask,Pure Care,Skin,Cleansers,Cleanser,9,
2022,Q2,9,6,06-Sep-22,88018214,Glycolic Bright Daily Foaming Face Cleanser With Glycolic Acid For Dull Skin,Korean Essence,Skin,Moisturizers,Face Moisturizer & Day Cream,102,
2022,Q2,9,6,06-Sep-22,88018296,Korean Essentials Delicate Facial Cleanser,Korean Essence,Skin,Moisturizers,Face Moisturizer & Day Cream,8,
2022,Q2,9,6,06-Sep-22,THEA0017,Antioxidant Hydro Serum,Korean Essence,Skin,Toners,Toners & Mists,4,
2022,Q2,9,6,06-Sep-22,88018226, Towel - Scrunchie,Korean Essence,Skin,Cleansers,Face Wash,142,
2022,Q2,9,7,07-Sep-22,88018207,Kojic Acid Face Serum With 1% Alpha Arbutin & Niacinamide,Korean Essence,Skin,Toners & Mists,Toners,4,
